"DJ","AirDate","Artist","Title"
"DF",2017-08-17,"Das Wesen","Tanz der Raserei"
"DF",2016-01-10,"Rifle Sport","Bloodline"
"DF",2017-07-02,"Nurt","Pisz Kred Na Asfalcie"
"DF",2017-01-29,"La Sonorité Jaune","Patrick Mcgoohan Iii"
"DF",2017-08-17,"Wolf Eyes","011817"
"DF",2016-07-17,"Blurt","Beneath Discordant Skies"
"DF",2023-08-07,"Alternative Tv","Like A Tomb"
"DF",2022-06-29,"Elvin Brandhi","Imbred Waile Ocdc"
"DF",2018-01-05,"Shit & Shine","Angelforce00"
"DF",2017-03-26,"Pink Fairies","Say You Love Me"
"DF",2019-01-27,"Crispy Ambulance","The Presence"
"DF",2016-07-17,"Mecanica Popular","La Edad Del Bronce"
"DF",2025-11-28,"Corpses as Bedmates","Fur Man"
"DF",2017-01-29,"Ernest Gibson","Women I Know"
"DF",2017-07-16,"Morgan & Dilloway","43216"
"DF",2023-11-24,"Ndox Electrique","LK Ndau Mbay"
"DF",2023-08-07,"Buck Gooter","Consider The Grackles"
"DF",2024-08-25,"Some Noise","In Transit"
"DF",2019-01-27,"Beau Wanzer","Wick Hunny"
"DF",2017-03-26,"Tasjiil Moujahed","Chronique Organique"
"DF",2017-03-26,"Fetus Productions","Human Weakness"
"DF",2016-06-20,"Rathaus","Money Never Sleeps"
"DF",2023-01-02,"Mu","Honour The Independent"
"DF",2017-01-29,"Consolidated Plastics","At Fellowship Hotel Casino"
"DF",2020-01-06,"Mick Hobbs","Good Cement"
"DF",2023-01-02,"Severed Heads","Unbreakable"
"DF",2015-12-30,"No More","In A White Room"
"DF",2025-11-28,"Rat Henry","The Down and Out Cop"
"DF",2017-07-16,"Come On","Dont Walk On The Kitchen Floor"
"DF",2017-01-29,"Morse Code Transmission","Its Never Ever Easy To Do"
"DF",2017-08-17,"Terminal Cheesecake","Oily Bud"
"DF",2023-01-02,"It's Immaterial","A Gigantic Raft"
"DF",2017-04-17,"Pleasure Korps","Let Us Affix"
"DF",2023-01-02,"Hardware","French Boys"
"DF",2019-01-27,"Neues Deutschland","Graues Fleisch"
"DF",2020-01-06,"The Great Leap Forward","Propping Up The Nose Of The King"
"DF",2015-12-30,"Billy Bao","Side D"
"DF",2025-02-17,"The Invaders","Launderama"
"DF",2023-01-02,"Kjostad","Kabetogama"
"DF",2016-07-17,"Severed Heads","Mambo Fist Miasma"
"DF",2023-11-24,"Bongwater","Talent Is A Vampire"
"DF",2018-05-27,"HOGG","Eternal Hate Created"
"DF",2016-01-10,"Pedestrian Deposit","Blue Patina Arcadia"
"DF",2020-01-06,"Neutral","Punkt"
"DF",2015-12-30,"Consumer Electronics","Alien Existence"
